job_id,work_item_id,job_kind,status,group,name,base_version,base_config_sha256,code_ref,config_snapshot_ref,seed,changed_parameters,config_fingerprint,repeat_of,duplicate_resolution,purpose,run_id,run_start_receipt_ref,run_start_receipt_sha256,run_command_sha256,run_log_sha256,run_exit_code,U,S,H,ZS,best_epoch,decision,artifact_ref,artifact_manifest_sha256
RUN-001,V5-ABLATION-001,ablation,failed,FULL,完整 V5 seed 5,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,model/v5-template-v1,configs/RUN-001.yaml,5,{},def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,,唯一配置,与无局部组做同种子配对比较,RUN-20260807-V5ABL001-R3-FULL-S5,/data/lby/projects/cv_project/GTPJ_Warehouse/runs/v5/ablation/V5-ABLATION-001-cca4e0e6419a/RUN-001/run_start_receipt.json,3a208fb021fe1c2a2c59bee85a9fcbbc11b57e00cca4ea86ad7caf84e2f60420,239a7c114b03fd494394eb5f872844f01e7c8bc2e4841b0bd10bf1fdbd5fe557,20cd25dcabf26a60c870469f149f8a640b2708591a88ae6ea8e20ed79e693a9e,1,,,,,,process_failed_cuda_class_identity_device_mismatch,/data/lby/projects/cv_project/GTPJ_Warehouse/runs/v5/ablation/V5-ABLATION-001-cca4e0e6419a/RUN-001,
RUN-002,V5-ABLATION-001,ablation,cancelled,FULL,完整 V5 seed 17,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,model/v5-template-v1,configs/RUN-002.yaml,17,{},a4e8e9ab656a5de30ed6ce8e86317fbc5f873fca8b466793425ca7f678585b21,,唯一配置,与无局部组做同种子配对比较,RUN-20260807-V5ABL001-R3-FULL-S17,,,,,,,,,,,not_started_after_stop_or_failure,,
RUN-003,V5-ABLATION-001,ablation,cancelled,FULL,完整 V5 seed 29,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,model/v5-template-v1,configs/RUN-003.yaml,29,{},c77ada02882ebfab0dd6a550426af323f72a73bad12d1a57649f0d5b9281927a,,唯一配置,与无局部组做同种子配对比较,RUN-20260807-V5ABL001-R3-FULL-S29,,,,,,,,,,,not_started_after_stop_or_failure,,
RUN-004,V5-ABLATION-001,ablation,failed,GLOBAL_ONLY,干净无局部 seed 5,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,exp/v5/ablation/ablation-001-local-branch-effect,configs/RUN-004.yaml,5,{},87d42788056c5c126677a126d650f2c61de826452e48368fc50a77f0d71b708e,,唯一配置,删除 FGVD、BVSA、SGMP、局部融合和局部损失；保留 PSE、ICSA、CE、topology,RUN-20260807-V5ABL001-R3-GLOBAL-S5,/data/lby/projects/cv_project/GTPJ_Warehouse/runs/v5/ablation/V5-ABLATION-001-cca4e0e6419a/RUN-004/run_start_receipt.json,eefee151f0d19a2fc987f1b1ee84e7e7039e6f4c7d0b6e6d38cbc3cd6cbe2c45,510c7c7629993b21883899d6ecc578c7cc54c6a6ea07ab46844d61eb56df0804,aeb3f58d3432cd7900063c19ccfbbeee8373025db44a100f0c2f9148f81f3623,1,,,,,,process_failed_cuda_class_identity_device_mismatch,/data/lby/projects/cv_project/GTPJ_Warehouse/runs/v5/ablation/V5-ABLATION-001-cca4e0e6419a/RUN-004,
RUN-005,V5-ABLATION-001,ablation,cancelled,GLOBAL_ONLY,干净无局部 seed 17,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,exp/v5/ablation/ablation-001-local-branch-effect,configs/RUN-005.yaml,17,{},bd9d8a9c1bfbfba42bf7f85bb5f0294b46951469dc6d074bf90ba8629a304bbc,,唯一配置,删除 FGVD、BVSA、SGMP、局部融合和局部损失；保留 PSE、ICSA、CE、topology,RUN-20260807-V5ABL001-R3-GLOBAL-S17,,,,,,,,,,,not_started_after_stop_or_failure,,
RUN-006,V5-ABLATION-001,ablation,cancelled,GLOBAL_ONLY,干净无局部 seed 29,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,exp/v5/ablation/ablation-001-local-branch-effect,configs/RUN-006.yaml,29,{},66883c2a9a502decfeea5bb09cfc1633cea75daff07eefa3b8ecd0de8b994b11,,唯一配置,删除 FGVD、BVSA、SGMP、局部融合和局部损失；保留 PSE、ICSA、CE、topology,RUN-20260807-V5ABL001-R3-GLOBAL-S29,,,,,,,,,,,not_started_after_stop_or_failure,,
RUN-007,V5-ABLATION-001,ablation,completed,FULL,完整 V5 seed 5,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,model/v5-template-v1,configs/RUN-007.yaml,5,{},def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,RUN-001,R3 初始化失败后从头重跑,与无局部组做同种子配对比较,RUN-20260808-V5ABL001-R4-FULL-S5,/data/lby/projects/cv_project/GTPJ_Warehouse/runs/v5/ablation/V5-ABLATION-001-6f0c382edfbe/RUN-007/run_start_receipt.json,999cb05065aae3f342f1f8016bd526198ec995bbcba69c145bd654ce2cbe3cd8,1b5529ea8821a6c3c6afc6b5314cc01bee5aa3137aacaef5e2c182564421f7c5,6e70729a177d081144a6556de53f84e3e1e5feb6a7f08603df747db38d2bfd95,0,72.36,76.07,74.17,81.28,31,completed_recovered_after_v5_log_parser_fix,/data/lby/projects/cv_project/GTPJ_Warehouse/runs/v5/ablation/V5-ABLATION-001-6f0c382edfbe/RUN-007,
RUN-008,V5-ABLATION-001,ablation,cancelled,FULL,完整 V5 seed 17,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,model/v5-template-v1,configs/RUN-008.yaml,17,{},a4e8e9ab656a5de30ed6ce8e86317fbc5f873fca8b466793425ca7f678585b21,RUN-002,R3 初始化失败后从头重跑,与无局部组做同种子配对比较,RUN-20260808-V5ABL001-R4-FULL-S17,,,,,,,,,,,not_started_after_r4_bookkeeping_failure,,
RUN-009,V5-ABLATION-001,ablation,cancelled,FULL,完整 V5 seed 29,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,model/v5-template-v1,configs/RUN-009.yaml,29,{},c77ada02882ebfab0dd6a550426af323f72a73bad12d1a57649f0d5b9281927a,RUN-003,R3 初始化失败后从头重跑,与无局部组做同种子配对比较,RUN-20260808-V5ABL001-R4-FULL-S29,,,,,,,,,,,not_started_after_r4_bookkeeping_failure,,
RUN-010,V5-ABLATION-001,ablation,completed,GLOBAL_ONLY,干净无局部 seed 5,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,exp/v5/ablation/ablation-001-local-branch-effect,configs/RUN-010.yaml,5,{},87d42788056c5c126677a126d650f2c61de826452e48368fc50a77f0d71b708e,RUN-004,R3 初始化失败后从头重跑,删除 FGVD、BVSA、SGMP、局部融合和局部损失；保留 PSE、ICSA、CE、topology,RUN-20260808-V5ABL001-R4-GLOBAL-S5,/data/lby/projects/cv_project/GTPJ_Warehouse/runs/v5/ablation/V5-ABLATION-001-6f0c382edfbe/RUN-010/run_start_receipt.json,568e0e4980a59f0baf464a1dafe459e8ff61b44d2f47324b301aec51e1238f0b,64d1d1df720eb6b8e023b00a11b2f3233dfad951d6775257d0780e95a61c202e,c850f53ce1e491f59ed679d7959a00f7231434f93cd9e44ab136c38db129477e,0,71.52,76.50,73.92,81.27,48,completed_recovered_after_v5_log_parser_fix,/data/lby/projects/cv_project/GTPJ_Warehouse/runs/v5/ablation/V5-ABLATION-001-6f0c382edfbe/RUN-010,
