job_id,work_item_id,job_kind,status,group,name,base_version,base_config_sha256,code_ref,config_snapshot_ref,seed,changed_parameters,config_fingerprint,repeat_of,duplicate_resolution,purpose,run_id,run_start_receipt_ref,run_start_receipt_sha256,run_command_sha256,run_log_sha256,run_exit_code,U,S,H,ZS,best_epoch,decision,artifact_ref,artifact_manifest_sha256
RUN-001,V5-ABLATION-008,ablation,frozen,C-FROZEN,C-FROZEN-seed-5-repeat-1,v5,bf5f945c389f4ca373fd594b159631cbab768463790bd60ed727023ce0d06f59,8f71fa45839f8f2df8bc1bbb78be478246f24b71,configs/RUN-001.yaml,5,"{""score_path"":""frozen_clip""}",4ac32a691a0dd5726dce964b1d470d9a2be1e4d36a969202e7a40f0016e3cf57,,唯一配置,determinism_check_not_training_stability,,,,,,,,,,,,,,
RUN-002,V5-ABLATION-008,ablation,frozen,C-FROZEN,C-FROZEN-seed-5-repeat-2,v5,bf5f945c389f4ca373fd594b159631cbab768463790bd60ed727023ce0d06f59,8f71fa45839f8f2df8bc1bbb78be478246f24b71,configs/RUN-002.yaml,5,"{""score_path"":""frozen_clip""}",4ac32a691a0dd5726dce964b1d470d9a2be1e4d36a969202e7a40f0016e3cf57,RUN-001,与 RUN-001 相同，已明确标为复跑,determinism_check_not_training_stability,,,,,,,,,,,,,,
RUN-003,V5-ABLATION-008,ablation,frozen,C-FROZEN,C-FROZEN-seed-17-repeat-1,v5,bf5f945c389f4ca373fd594b159631cbab768463790bd60ed727023ce0d06f59,8f71fa45839f8f2df8bc1bbb78be478246f24b71,configs/RUN-003.yaml,17,"{""score_path"":""frozen_clip""}",5c2a32969acff836521d98b83dae2657ae7fbd4dbcba90813d649fdf961e85a3,,唯一配置,determinism_check_not_training_stability,,,,,,,,,,,,,,
RUN-004,V5-ABLATION-008,ablation,frozen,C-FROZEN,C-FROZEN-seed-17-repeat-2,v5,bf5f945c389f4ca373fd594b159631cbab768463790bd60ed727023ce0d06f59,8f71fa45839f8f2df8bc1bbb78be478246f24b71,configs/RUN-004.yaml,17,"{""score_path"":""frozen_clip""}",5c2a32969acff836521d98b83dae2657ae7fbd4dbcba90813d649fdf961e85a3,RUN-003,与 RUN-003 相同，已明确标为复跑,determinism_check_not_training_stability,,,,,,,,,,,,,,
RUN-005,V5-ABLATION-008,ablation,frozen,G-GLOBAL,G-GLOBAL-seed-5-repeat-1,v5,bf5f945c389f4ca373fd594b159631cbab768463790bd60ed727023ce0d06f59,8f71fa45839f8f2df8bc1bbb78be478246f24b71,configs/RUN-005.yaml,5,"{""score_path"":""global""}",affbc3858d87430bb02f883acf24dff950dbca2441b96cea4b2ba05850f614db,,唯一配置,G-GLOBAL：种子 5 第 1 次，分解全局与局部路径贡献,,,,,,,,,,,,,,
RUN-006,V5-ABLATION-008,ablation,frozen,G-GLOBAL,G-GLOBAL-seed-5-repeat-2,v5,bf5f945c389f4ca373fd594b159631cbab768463790bd60ed727023ce0d06f59,8f71fa45839f8f2df8bc1bbb78be478246f24b71,configs/RUN-006.yaml,5,"{""score_path"":""global""}",affbc3858d87430bb02f883acf24dff950dbca2441b96cea4b2ba05850f614db,RUN-005,与 RUN-005 相同，已明确标为复跑,G-GLOBAL：种子 5 第 2 次，分解全局与局部路径贡献,,,,,,,,,,,,,,
RUN-007,V5-ABLATION-008,ablation,frozen,G-GLOBAL,G-GLOBAL-seed-17-repeat-1,v5,bf5f945c389f4ca373fd594b159631cbab768463790bd60ed727023ce0d06f59,8f71fa45839f8f2df8bc1bbb78be478246f24b71,configs/RUN-007.yaml,17,"{""score_path"":""global""}",3039ee17755eed902d812e58465e4d5ff8deb08be689fb8b2b20ed0dca0696b4,,唯一配置,G-GLOBAL：种子 17 第 1 次，分解全局与局部路径贡献,,,,,,,,,,,,,,
RUN-008,V5-ABLATION-008,ablation,frozen,G-GLOBAL,G-GLOBAL-seed-17-repeat-2,v5,bf5f945c389f4ca373fd594b159631cbab768463790bd60ed727023ce0d06f59,8f71fa45839f8f2df8bc1bbb78be478246f24b71,configs/RUN-008.yaml,17,"{""score_path"":""global""}",3039ee17755eed902d812e58465e4d5ff8deb08be689fb8b2b20ed0dca0696b4,RUN-007,与 RUN-007 相同，已明确标为复跑,G-GLOBAL：种子 17 第 2 次，分解全局与局部路径贡献,,,,,,,,,,,,,,
RUN-009,V5-ABLATION-008,ablation,frozen,L-LOCAL-SCORE,L-LOCAL-SCORE-seed-5-repeat-1,v5,bf5f945c389f4ca373fd594b159631cbab768463790bd60ed727023ce0d06f59,8f71fa45839f8f2df8bc1bbb78be478246f24b71,configs/RUN-009.yaml,5,"{""score_path"":""local""}",d7d4cc0f7515f95ed8093952042a5ec885815fe2e9bbe2d9e8f2cd49c8d06f10,,唯一配置,L-LOCAL-SCORE：种子 5 第 1 次，分解全局与局部路径贡献,,,,,,,,,,,,,,
RUN-010,V5-ABLATION-008,ablation,frozen,L-LOCAL-SCORE,L-LOCAL-SCORE-seed-5-repeat-2,v5,bf5f945c389f4ca373fd594b159631cbab768463790bd60ed727023ce0d06f59,8f71fa45839f8f2df8bc1bbb78be478246f24b71,configs/RUN-010.yaml,5,"{""score_path"":""local""}",d7d4cc0f7515f95ed8093952042a5ec885815fe2e9bbe2d9e8f2cd49c8d06f10,RUN-009,与 RUN-009 相同，已明确标为复跑,L-LOCAL-SCORE：种子 5 第 2 次，分解全局与局部路径贡献,,,,,,,,,,,,,,
RUN-011,V5-ABLATION-008,ablation,frozen,L-LOCAL-SCORE,L-LOCAL-SCORE-seed-17-repeat-1,v5,bf5f945c389f4ca373fd594b159631cbab768463790bd60ed727023ce0d06f59,8f71fa45839f8f2df8bc1bbb78be478246f24b71,configs/RUN-011.yaml,17,"{""score_path"":""local""}",77a387c6dc7f8b77971b6dccb6d73450c70df5e26da2e17c3b2e125557d55191,,唯一配置,L-LOCAL-SCORE：种子 17 第 1 次，分解全局与局部路径贡献,,,,,,,,,,,,,,
RUN-012,V5-ABLATION-008,ablation,frozen,L-LOCAL-SCORE,L-LOCAL-SCORE-seed-17-repeat-2,v5,bf5f945c389f4ca373fd594b159631cbab768463790bd60ed727023ce0d06f59,8f71fa45839f8f2df8bc1bbb78be478246f24b71,configs/RUN-012.yaml,17,"{""score_path"":""local""}",77a387c6dc7f8b77971b6dccb6d73450c70df5e26da2e17c3b2e125557d55191,RUN-011,与 RUN-011 相同，已明确标为复跑,L-LOCAL-SCORE：种子 17 第 2 次，分解全局与局部路径贡献,,,,,,,,,,,,,,
RUN-013,V5-ABLATION-008,ablation,frozen,GL-FULL,GL-FULL-seed-5-repeat-1,v5,bf5f945c389f4ca373fd594b159631cbab768463790bd60ed727023ce0d06f59,8f71fa45839f8f2df8bc1bbb78be478246f24b71,configs/RUN-013.yaml,5,"{""score_path"":""full""}",bf5f945c389f4ca373fd594b159631cbab768463790bd60ed727023ce0d06f59,,唯一配置,GL-FULL：种子 5 第 1 次，分解全局与局部路径贡献,,,,,,,,,,,,,,
RUN-014,V5-ABLATION-008,ablation,frozen,GL-FULL,GL-FULL-seed-5-repeat-2,v5,bf5f945c389f4ca373fd594b159631cbab768463790bd60ed727023ce0d06f59,8f71fa45839f8f2df8bc1bbb78be478246f24b71,configs/RUN-014.yaml,5,"{""score_path"":""full""}",bf5f945c389f4ca373fd594b159631cbab768463790bd60ed727023ce0d06f59,RUN-013,与 RUN-013 相同，已明确标为复跑,GL-FULL：种子 5 第 2 次，分解全局与局部路径贡献,,,,,,,,,,,,,,
RUN-015,V5-ABLATION-008,ablation,frozen,GL-FULL,GL-FULL-seed-17-repeat-1,v5,bf5f945c389f4ca373fd594b159631cbab768463790bd60ed727023ce0d06f59,8f71fa45839f8f2df8bc1bbb78be478246f24b71,configs/RUN-015.yaml,17,"{""score_path"":""full""}",817d5a2638f7ea22cb7f14ee90fcb9595956efc4935681cd00dc4cd29c350cf7,,唯一配置,GL-FULL：种子 17 第 1 次，分解全局与局部路径贡献,,,,,,,,,,,,,,
RUN-016,V5-ABLATION-008,ablation,frozen,GL-FULL,GL-FULL-seed-17-repeat-2,v5,bf5f945c389f4ca373fd594b159631cbab768463790bd60ed727023ce0d06f59,8f71fa45839f8f2df8bc1bbb78be478246f24b71,configs/RUN-016.yaml,17,"{""score_path"":""full""}",817d5a2638f7ea22cb7f14ee90fcb9595956efc4935681cd00dc4cd29c350cf7,RUN-015,与 RUN-015 相同，已明确标为复跑,GL-FULL：种子 17 第 2 次，分解全局与局部路径贡献,,,,,,,,,,,,,,
